"Student","Gender","Age","Education","Area","Taste","Fattiness","Salt","Spreadability","Appearance","Recycling","Bio-content","ID"
5065623,2,46,1,2,4,6,6,4,2,3,4,14359
5065623,1,65,4,1,4,3,4,4,4,5,5,14347
5065623,1,41,4,3,6,5,4,4,1,1,5,14335
5065623,1,41,3,2,4,5,5,4,3,3,4,14323
5065623,2,29,2,2,4,5,6,4,6,5,3,14311
5065623,2,18,2,1,5,5,5,5,4,4,4,14299
5065623,2,18,3,3,5,4,4,5,4,4,5,14287
5065623,2,43,3,2,4,5,6,3,6,5,5,14275
5065623,2,18,2,3,4,6,6,6,2,3,4,14263
5065623,2,20,3,3,4,5,4,6,3,4,4,14251
5065623,1,65,3,2,3,4,5,5,5,4,6,14239
5065623,2,65,2,1,7,6,6,5,4,4,5,14227
5065623,2,63,2,4,4,5,5,5,4,4,5,14215
5065623,2,47,3,4,6,5,5,5,6,5,4,14203
5065623,2,18,3,1,6,4,5,6,5,2,3,14191
5065623,1,62,4,2,3,4,4,3,2,3,5,14179
5065623,2,18,2,3,6,5,5,5,6,4,4,14167
5065623,1,18,3,3,3,3,4,3,3,2,3,14155
5065623,1,18,4,2,5,4,3,5,4,2,5,14143
5065623,1,59,2,1,3,5,4,3,3,5,5,14131
5065623,2,47,4,1,4,1,5,4,4,3,4,14119
5065623,2,49,3,4,4,4,5,4,5,2,3,14107
5065623,3,48,4,3,3,2,3,4,3,3,5,14095
5065623,1,20,4,1,4,3,4,4,3,3,4,14083
5065623,1,18,3,2,6,3,5,6,6,3,5,14071
5065623,1,55,4,3,4,3,4,4,4,3,4,14059
5065623,2,62,4,3,4,2,3,5,4,4,6,14047
5065623,2,18,4,3,5,2,4,5,4,2,3,14035
5065623,1,65,3,4,4,5,5,4,4,2,3,14023
5065623,2,18,2,2,3,6,5,4,3,4,4,14011
5065623,2,25,3,4,4,4,5,4,4,4,6,13999
5065623,2,38,3,2,4,5,3,4,4,2,3,13987
5065623,2,38,4,2,5,4,3,6,6,2,4,13975
5065623,1,28,4,2,4,3,4,5,4,3,4,13963
5065623,1,36,4,3,4,3,4,5,5,4,4,13951
5065623,3,33,3,2,3,4,5,3,4,3,5,13939
5065623,2,36,4,3,4,3,4,4,4,2,3,13927
5065623,2,18,4,2,4,2,4,4,5,4,5,13915
5065623,1,37,4,1,4,3,5,4,5,5,5,13903
5065623,2,30,3,1,5,4,6,4,4,2,2,13891
5065623,2,65,3,2,5,4,5,5,5,5,5,13879
5065623,1,43,4,4,5,3,2,5,5,3,4,13867
5065623,2,44,2,3,4,3,5,3,3,2,3,13855
5065623,1,52,4,3,3,3,4,4,6,6,5,13843
5065623,1,63,3,2,3,3,4,3,3,4,4,13831
5065623,3,23,4,3,3,3,4,4,4,4,3,13819
5065623,2,58,3,2,4,4,5,3,5,4,4,13807
5065623,2,40,4,2,3,3,4,4,3,5,2,13795
5065623,2,18,3,3,3,4,4,3,4,3,3,13783
5065623,2,32,3,2,4,4,5,2,2,3,2,13771
5065623,2,61,1,3,5,6,7,2,4,5,4,13759
5065623,1,27,4,2,2,2,3,5,2,3,3,13747
5065623,1,65,4,2,4,4,5,3,3,3,4,13735
5065623,2,18,3,4,4,4,6,3,4,4,5,13723
5065623,2,18,1,1,5,5,7,1,2,3,2,13711
5065623,2,65,2,3,6,5,5,4,4,5,2,13699
5065623,1,18,4,3,5,3,3,3,3,3,5,13687
5065623,2,52,4,4,5,4,4,5,5,4,4,13675
5065623,2,35,3,4,4,5,5,3,3,2,3,13663
5065623,2,38,4,3,2,4,3,4,5,4,5,13651
5065623,2,39,3,4,5,4,5,5,5,6,5,13639
5065623,2,62,4,2,4,4,4,5,5,5,4,13627
5065623,1,42,3,2,3,4,4,3,6,5,4,13615
5065623,2,21,4,3,4,4,4,5,3,2,4,13603
5065623,2,34,4,4,5,4,4,5,4,4,3,13591
5065623,1,58,4,1,4,4,3,5,2,1,5,13579
5065623,2,18,1,3,3,6,6,2,4,3,2,13567
5065623,1,50,3,3,5,4,3,6,4,4,5,13555
5065623,1,65,4,2,5,4,2,3,4,5,5,13543
5065623,1,31,3,1,4,4,3,4,5,5,4,13531
5065623,2,28,4,2,4,4,4,5,4,4,4,13519
5065623,2,18,4,1,4,4,4,4,5,5,4,13507
5065623,2,32,4,2,5,4,3,5,4,4,4,13495
5065623,1,65,4,1,3,4,3,3,3,4,5,13483
5065623,1,20,3,2,4,5,3,5,4,3,3,13471
5065623,2,48,3,3,5,4,5,5,5,4,5,13459
5065623,2,48,3,2,4,4,5,4,4,5,5,13447
5065623,2,34,4,1,2,3,3,2,3,4,4,13435
5065623,1,33,4,4,2,3,2,4,6,5,5,13423
5065623,1,65,4,2,2,1,2,5,5,5,4,13411
5065623,3,23,4,4,4,4,3,3,2,3,3,13399
5065623,2,57,3,3,3,4,4,2,4,3,4,13387
5065623,2,32,4,1,3,2,3,5,3,5,3,13375
5065623,1,32,4,1,1,3,2,5,4,4,4,13363
5065623,1,37,4,2,3,3,3,4,5,4,4,13351
5065623,2,65,4,4,4,4,3,3,4,4,4,13339
5065623,2,43,4,2,2,2,3,4,5,6,4,13327
5065623,1,33,4,4,3,3,3,4,3,3,4,13315
5065623,1,36,4,3,3,2,3,4,3,4,5,13303
5065623,1,18,4,2,3,3,2,5,4,5,3,13291
5065623,2,65,4,3,3,2,3,5,5,5,4,13279
5065623,3,32,3,3,6,4,4,6,3,3,3,13267
5065623,2,65,3,2,5,4,3,3,4,5,4,13255
5065623,2,65,3,2,4,5,4,4,5,6,3,13243
5065623,2,41,2,2,4,4,5,3,5,6,3,13231
5065623,2,53,4,2,2,4,4,2,5,6,4,13219
5065623,2,18,3,3,5,5,4,4,4,3,4,13207
5065623,2,40,4,3,6,3,4,5,5,5,5,13195
5065623,2,32,4,2,6,3,3,4,3,4,5,13183
5065623,1,63,4,1,4,2,4,4,5,4,6,13171
5065623,1,26,4,2,2,4,3,1,2,4,6,13159
5065623,1,65,3,4,2,4,4,2,2,5,7,13147
5065623,1,65,4,2,4,4,4,3,5,4,5,13135
5065623,2,25,4,3,6,3,4,5,6,5,5,13123
5065623,2,37,3,1,5,5,4,4,5,3,3,13111
5065623,1,43,4,1,4,3,2,6,3,4,2,13099
5065623,2,18,2,3,5,6,5,2,5,3,3,13087
5065623,2,64,4,3,5,5,4,4,4,4,5,13075
5065623,1,65,4,2,2,3,2,6,5,5,6,13063
5065623,2,30,2,3,5,5,5,3,5,2,4,13051
5065623,1,65,4,3,4,3,3,5,3,6,4,13039
5065623,2,65,2,3,7,6,6,3,5,4,4,13027
5065623,1,65,4,2,3,3,3,4,5,5,5,13015
5065623,2,20,4,2,4,4,5,3,5,5,4,13003
5065623,1,18,3,4,5,5,5,3,4,3,4,12991
5065623,2,44,3,2,5,5,4,3,4,4,3,12979
5065623,1,65,3,1,4,4,4,4,3,5,5,12967
5065623,2,65,2,3,5,5,4,3,3,5,5,12955
5065623,2,52,5,2,2,3,3,5,4,3,3,12943
5065623,1,40,3,3,3,4,4,3,4,4,4,12931
5065623,1,26,4,3,4,4,4,4,3,3,4,12919
5065623,1,38,3,1,4,5,4,3,5,6,7,12907
5065623,1,18,4,3,4,4,4,4,2,2,6,12895
5065623,2,52,2,3,4,5,5,5,5,5,3,12883
5065623,1,49,3,1,3,4,4,3,4,5,6,12871
5065623,2,29,1,3,4,6,6,4,2,3,4,12859
5065623,2,48,4,3,4,3,4,4,4,5,5,12847
5065623,2,33,4,3,6,5,4,4,1,1,5,12835
5065623,2,45,3,2,4,5,5,4,3,3,4,12823
5065623,2,65,2,3,4,5,6,4,6,5,3,12811
5065623,2,30,2,4,5,5,5,5,4,4,4,12799
5065623,1,26,3,4,5,4,4,5,4,4,5,12787
5065623,2,18,3,3,4,5,6,3,6,5,5,12775
5065623,2,38,2,4,4,6,6,6,2,3,4,12763
5065623,2,35,3,2,4,5,4,6,3,4,4,12751
5065623,1,22,3,2,3,4,5,5,5,4,6,12739
5065623,2,48,2,3,7,6,6,5,4,4,5,12727
5065623,2,57,2,1,4,5,5,5,4,4,5,12715
5065623,2,65,3,2,6,5,5,5,6,5,4,12703
5065623,2,34,3,2,6,4,5,6,5,2,3,12691
5065623,2,65,4,3,3,4,4,3,2,3,5,12679
5065623,2,18,2,3,6,5,5,5,6,4,4,12667
5065623,2,64,3,2,3,3,4,3,3,2,3,12655
5065623,2,48,4,2,5,4,3,5,4,2,5,12643
5065623,1,65,2,2,3,5,4,3,3,5,5,12631
5065623,1,18,4,2,4,1,5,4,4,3,4,12619
5065623,2,29,3,2,4,4,5,4,5,2,3,12607
5065623,1,46,4,2,3,2,3,4,3,3,5,12595
5065623,2,31,4,4,4,3,4,4,3,3,4,12583
5065623,3,18,3,4,6,3,5,6,6,3,5,12571
5065623,1,57,4,3,4,3,4,4,4,3,4,12559
5065623,1,65,4,3,4,2,3,5,4,4,6,12547
5065623,1,24,4,3,5,2,4,5,4,2,3,12535
5065623,2,48,3,1,4,5,5,4,4,2,3,12523
5065623,2,24,2,3,3,6,5,4,3,4,4,12511
5065623,1,65,3,2,4,4,5,4,4,4,6,12499
5065623,2,54,3,3,4,5,3,4,4,2,3,12487
5065623,2,57,4,2,5,4,3,6,6,2,4,12475
5065623,2,18,4,4,4,3,4,5,4,3,4,12463
5065623,1,18,4,4,4,3,4,5,5,4,4,12451
5065623,2,55,3,2,3,4,5,3,4,3,5,12439
5065623,2,18,4,4,4,3,4,4,4,2,3,12427
5065623,1,65,4,2,4,2,4,4,5,4,5,12415
5065623,2,65,4,2,4,3,5,4,5,5,5,12403
5065623,2,57,3,2,5,4,6,4,4,2,2,12391
5065623,2,65,3,3,5,4,5,5,5,5,5,12379
5065623,2,32,4,3,5,3,2,5,5,3,4,12367
5065623,2,22,2,2,4,3,5,3,3,2,3,12355
5065623,3,61,4,2,3,3,4,4,6,6,5,12343
5065623,1,39,3,4,3,3,4,3,3,4,4,12331
5065623,2,51,4,3,3,3,4,4,4,4,3,12319
5065623,2,49,3,1,4,4,5,3,5,4,4,12307
5065623,2,28,4,4,3,3,4,4,3,5,2,12295
5065623,2,29,3,2,3,4,4,3,4,3,3,12283
5065623,2,59,3,2,4,4,5,2,2,3,2,12271
5065623,2,65,1,3,5,6,7,2,4,5,4,12259
5065623,2,42,4,1,2,2,3,5,2,3,3,12247
5065623,2,38,4,2,4,4,5,3,3,3,4,12235
5065623,2,58,3,2,4,4,6,3,4,4,5,12223
5065623,2,21,1,1,5,5,7,1,2,3,2,12211
5065623,2,65,2,3,6,5,5,4,4,5,2,12199
5065623,1,32,4,2,5,3,3,3,3,3,5,12187
5065623,1,53,4,2,5,4,4,5,5,4,4,12175
5065623,2,18,3,4,4,5,5,3,3,2,3,12163
5065623,2,65,4,2,2,4,3,4,5,4,5,12151
5065623,2,54,3,2,5,4,5,5,5,6,5,12139
5065623,2,18,5,3,4,4,4,5,5,5,4,12127
5065623,1,48,3,2,3,4,4,3,6,5,4,12115
5065623,2,22,4,4,4,4,4,5,3,2,4,12103
5065623,1,54,4,3,5,4,4,5,4,4,3,12091
5065623,1,49,4,3,4,4,3,5,2,1,5,12079
5065623,2,18,1,2,3,6,6,2,4,3,2,12067
5065623,1,65,3,1,5,4,3,6,4,4,5,12055
5065623,2,65,4,3,5,4,2,3,4,5,5,12043
5065623,2,18,3,4,4,4,3,4,5,5,4,12031
5065623,1,65,4,4,4,4,4,5,4,4,4,12019
5065623,2,18,4,4,4,4,4,4,5,5,4,12007
5065623,2,45,4,2,5,4,3,5,4,4,4,11995
5065623,2,52,4,2,3,4,3,3,3,4,5,11983
5065623,2,18,3,1,4,5,3,5,4,3,3,11971
5065623,1,50,3,2,5,4,5,5,5,4,5,11959
5065623,2,30,3,3,4,4,5,4,4,5,5,11947
5065623,1,38,4,2,2,3,3,2,3,4,4,11935
5065623,1,27,4,4,2,3,2,4,6,5,5,11923
5065623,1,25,4,2,2,1,2,5,5,5,4,11911
5065623,2,29,4,2,4,4,3,3,2,3,3,11899
5065623,2,38,3,3,3,4,4,2,4,3,4,11887
5065623,2,65,4,2,3,2,3,5,3,5,3,11875
5065623,3,65,4,4,1,3,2,5,4,4,4,11863
5065623,1,18,4,2,3,3,3,4,5,4,4,11851
5065623,1,18,4,1,4,4,3,3,4,4,4,11839
5065623,3,35,4,3,2,2,3,4,5,6,4,11827
5065623,1,65,4,2,3,3,3,4,3,3,4,11815
5065623,1,30,4,2,3,2,3,4,3,4,5,11803
5065623,2,19,4,3,3,3,2,5,4,5,3,11791
5065623,1,18,4,2,3,2,3,5,5,5,4,11779
5065623,2,30,3,4,6,4,4,6,3,3,3,11767
5065623,2,18,3,4,5,4,3,3,4,5,4,11755
5065623,2,31,3,2,4,5,4,4,5,6,3,11743
5065623,2,40,2,2,4,4,5,3,5,6,3,11731
5065623,1,34,4,2,2,4,4,2,5,6,4,11719
5065623,2,19,3,2,5,5,4,4,4,3,4,11707
5065623,1,28,4,3,6,3,4,5,5,5,5,11695
5065623,2,18,4,1,6,3,3,4,3,4,5,11683
5065623,2,65,4,4,4,2,4,4,5,4,6,11671
5065623,1,38,4,4,2,4,3,1,2,4,6,11659
5065623,1,65,3,3,2,4,4,2,2,5,7,11647
5065623,2,18,5,3,4,4,4,3,5,4,5,11635
5065623,1,18,4,3,6,3,4,5,6,5,5,11623
5065623,2,18,3,2,5,5,4,4,5,3,3,11611
5065623,2,19,4,4,4,3,2,6,3,4,2,11599
5065623,2,56,2,2,5,6,5,2,5,3,3,11587
5065623,2,53,5,2,5,5,4,4,4,4,5,11575
5065623,3,65,4,3,2,3,2,6,5,5,6,11563
5065623,2,50,2,2,5,5,5,3,5,2,4,11551
5065623,2,51,4,4,4,3,3,5,3,6,4,11539
5065623,2,65,2,3,7,6,6,3,5,4,4,11527
5065623,1,18,4,3,3,3,3,4,5,5,5,11515
5065623,2,65,4,2,4,4,5,3,5,5,4,11503
5065623,2,65,3,2,5,5,5,3,4,3,4,11491
5065623,1,33,3,3,5,5,4,3,4,4,3,11479
5065623,2,49,3,4,4,4,4,4,3,5,5,11467
5065623,2,65,2,3,5,5,4,3,3,5,5,11455
5065623,1,55,4,4,2,3,3,5,4,3,3,11443
5065623,2,65,3,3,3,4,4,3,4,4,4,11431
5065623,2,57,4,1,4,4,4,4,3,3,4,11419
5065623,2,57,3,2,4,5,4,3,5,6,7,11407
5065623,1,48,4,1,4,4,4,4,2,2,6,11395
5065623,2,18,2,2,4,5,5,5,5,5,3,11383
5065623,1,65,3,3,3,4,4,3,4,5,6,11371
5065623,2,60,1,2,4,6,6,4,2,3,4,11359
5065623,1,34,4,3,4,3,4,4,4,5,5,11347
5065623,1,36,4,2,6,5,4,4,1,1,5,11335
5065623,1,40,3,2,4,5,5,4,3,3,4,11323
5065623,2,65,2,4,4,5,6,4,6,5,3,11311
5065623,2,46,2,4,5,5,5,5,4,4,4,11299
5065623,2,44,3,1,5,4,4,5,4,4,5,11287
5065623,2,20,3,3,4,5,6,3,6,5,5,11275
5065623,2,43,2,4,4,6,6,6,2,3,4,11263
5065623,2,56,3,1,4,5,4,6,3,4,4,11251
5065623,1,59,3,3,3,4,5,5,5,4,6,11239
5065623,2,56,2,3,7,6,6,5,4,4,5,11227
5065623,2,18,2,1,4,5,5,5,4,4,5,11215
5065623,2,45,3,2,6,5,5,5,6,5,4,11203
5065623,2,29,3,2,6,4,5,6,5,2,3,11191
5065623,1,58,4,2,3,4,4,3,2,3,5,11179
5065623,2,39,2,3,6,5,5,5,6,4,4,11167
5065623,1,34,3,4,3,3,4,3,3,2,3,11155
5065623,1,18,4,4,5,4,3,5,4,2,5,11143
5065623,1,27,2,3,3,5,4,3,3,5,5,11131
5065623,2,20,5,2,4,1,5,4,4,3,4,11119
5065623,2,18,3,1,4,4,5,4,5,2,3,11107
5065623,1,30,4,2,3,2,3,4,3,3,5,11095
5065623,1,61,4,1,4,3,4,4,3,3,4,11083
5065623,1,18,3,1,6,3,5,6,6,3,5,11071
5065623,1,49,4,3,4,3,4,4,4,3,4,11059
5065623,2,19,4,2,4,2,3,5,4,4,6,11047
5065623,2,19,4,2,5,2,4,5,4,2,3,11035
5065623,1,56,3,4,4,5,5,4,4,2,3,11023
5065623,2,42,2,3,3,6,5,4,3,4,4,11011
5065623,2,56,3,2,4,4,5,4,4,4,6,10999
5065623,2,18,3,3,4,5,3,4,4,2,3,10987
5065623,2,40,4,4,5,4,3,6,6,2,4,10975
5065623,1,56,4,3,4,3,4,5,4,3,4,10963
5065623,1,38,4,3,4,3,4,5,5,4,4,10951
5065623,2,47,3,1,3,4,5,3,4,3,5,10939
5065623,2,20,4,2,4,3,4,4,4,2,3,10927
5065623,2,65,4,2,4,2,4,4,5,4,5,10915
5065623,1,18,4,3,4,3,5,4,5,5,5,10903
5065623,2,41,5,3,5,4,6,4,4,2,2,10891
5065623,2,24,5,2,5,4,5,5,5,5,5,10879
5065623,1,65,4,3,5,3,2,5,5,3,4,10867
5065623,2,65,2,4,4,3,5,3,3,2,3,10855
5065623,1,65,4,4,3,3,4,4,6,6,5,10843
5065623,1,51,3,2,3,3,4,3,3,4,4,10831
5065623,2,19,4,2,3,3,4,4,4,4,3,10819
5065623,2,49,3,3,4,4,5,3,5,4,4,10807
5065623,2,49,4,2,3,3,4,4,3,5,2,10795
5065623,2,43,3,1,3,4,4,3,4,3,3,10783
5065623,2,18,3,1,4,4,5,2,2,3,2,10771
5065623,2,55,1,3,5,6,7,2,4,5,4,10759
5065623,1,20,4,3,2,2,3,5,2,3,3,10747
5065623,1,34,4,3,4,4,5,3,3,3,4,10735
5065623,2,64,3,2,4,4,6,3,4,4,5,10723
5065623,2,18,1,4,5,5,7,1,2,3,2,10711
5065623,2,65,2,4,6,5,5,4,4,5,2,10699
5065623,1,65,4,2,5,3,3,3,3,3,5,10687
5065623,2,52,4,1,5,4,4,5,5,4,4,10675
5065623,2,18,3,3,4,5,5,3,3,2,3,10663
5065623,2,59,4,3,2,4,3,4,5,4,5,10651
5065623,2,50,3,4,5,4,5,5,5,6,5,10639
5065623,2,65,4,2,4,4,4,5,5,5,4,10627
5065623,1,18,3,3,3,4,4,3,6,5,4,10615
5065623,2,60,4,3,4,4,4,5,3,2,4,10603
5065623,2,38,4,2,5,4,4,5,4,4,3,10591
5065623,1,49,4,3,4,4,3,5,2,1,5,10579
5065623,2,18,1,2,3,6,6,2,4,3,2,10567
5065623,1,55,3,2,5,4,3,6,4,4,5,10555
5065623,1,38,4,3,5,4,2,3,4,5,5,10543
5065623,1,18,3,2,4,4,3,4,5,5,4,10531
5065623,2,49,4,1,4,4,4,5,4,4,4,10519
5065623,2,19,4,3,4,4,4,4,5,5,4,10507
5065623,2,19,4,4,5,4,3,5,4,4,4,10495
5065623,1,18,4,1,3,4,3,3,3,4,5,10483
5065623,1,32,3,2,4,5,3,5,4,3,3,10471
5065623,2,43,3,1,5,4,5,5,5,4,5,10459
5065623,2,65,3,3,4,4,5,4,4,5,5,10447
5065623,2,18,4,2,2,3,3,2,3,4,4,10435
5065623,1,22,4,4,2,3,2,4,6,5,5,10423
5065623,1,28,4,3,2,1,2,5,5,5,4,10411
5065623,2,45,4,1,4,4,3,3,2,3,3,10399
5065623,2,65,3,3,3,4,4,2,4,3,4,10387
5065623,2,65,4,2,3,2,3,5,3,5,3,10375
5065623,1,65,4,2,1,3,2,5,4,4,4,10363
5065623,1,64,4,2,3,3,3,4,5,4,4,10351
5065623,2,65,4,1,4,4,3,3,4,4,4,10339
5065623,2,31,4,1,2,2,3,4,5,6,4,10327
5065623,1,38,4,1,3,3,3,4,3,3,4,10315
5065623,1,18,4,3,3,2,3,4,3,4,5,10303
5065623,1,40,4,3,3,3,2,5,4,5,3,10291
5065623,2,18,4,3,3,2,3,5,5,5,4,10279
5065623,2,57,3,2,6,4,4,6,3,3,3,10267
5065623,2,49,3,3,5,4,3,3,4,5,4,10255
5065623,2,23,3,3,4,5,4,4,5,6,3,10243
5065623,2,46,2,3,4,4,5,3,5,6,3,10231
5065623,2,23,4,3,2,4,4,2,5,6,4,10219
5065623,2,65,3,1,5,5,4,4,4,3,4,10207
5065623,2,65,4,2,6,3,4,5,5,5,5,10195
5065623,2,36,4,2,6,3,3,4,3,4,5,10183
5065623,1,24,4,4,4,2,4,4,5,4,6,10171
5065623,1,18,4,4,2,4,3,1,2,4,6,10159
5065623,1,65,3,3,2,4,4,2,2,5,7,10147
5065623,1,18,4,2,4,4,4,3,5,4,5,10135
5065623,2,65,4,3,6,3,4,5,6,5,5,10123
5065623,2,30,3,1,5,5,4,4,5,3,3,10111
5065623,1,51,4,2,4,3,2,6,3,4,2,10099
5065623,2,65,2,3,5,6,5,2,5,3,3,10087
5065623,2,23,4,2,5,5,4,4,4,4,5,10075
5065623,1,58,4,2,2,3,2,6,5,5,6,10063
5065623,2,47,2,3,5,5,5,3,5,2,4,10051
5065623,1,37,4,2,4,3,3,5,3,6,4,10039
5065623,2,48,2,3,7,6,6,3,5,4,4,10027
5065623,1,46,4,3,3,3,3,4,5,5,5,10015
5065623,2,36,4,2,4,4,5,3,5,5,4,10003
5065623,1,25,3,2,5,5,5,3,4,3,4,9991
5065623,2,52,3,3,5,5,4,3,4,4,3,9979
5065623,1,56,3,3,4,4,4,4,3,5,5,9967
5065623,2,27,2,1,5,5,4,3,3,5,5,9955
5065623,2,37,4,1,2,3,3,5,4,3,3,9943
5065623,1,18,3,3,3,4,4,3,4,4,4,9931
5065623,1,31,4,2,4,4,4,4,3,3,4,9919
5065623,1,42,3,3,4,5,4,3,5,6,7,9907
5065623,1,18,4,3,4,4,4,4,2,2,6,9895
5065623,2,18,2,2,4,5,5,5,5,5,3,9883
5065623,1,64,3,2,3,4,4,3,4,5,6,9871
5065623,2,18,1,2,4,6,6,4,2,3,4,9859
5065623,2,61,4,1,4,3,4,4,4,5,5,9847
5065623,2,65,4,1,6,5,4,4,1,1,5,9835
5065623,2,60,3,1,4,5,5,4,3,3,4,9823
5065623,2,32,2,1,4,5,6,4,6,5,3,9811
5065623,2,45,2,2,5,5,5,5,4,4,4,9799
5065623,1,65,3,3,5,4,4,5,4,4,5,9787
5065623,2,65,3,3,4,5,6,3,6,5,5,9775
5065623,2,18,2,2,4,6,6,6,2,3,4,9763
5065623,2,58,3,2,4,5,4,6,3,4,4,9751
5065623,1,62,3,3,3,4,5,5,5,4,6,9739
5065623,2,18,2,1,7,6,6,5,4,4,5,9727
5065623,2,65,2,3,4,5,5,5,4,4,5,9715
5065623,2,65,3,1,6,5,5,5,6,5,4,9703
5065623,2,42,3,2,6,4,5,6,5,2,3,9691
5065623,2,35,4,2,3,4,4,3,2,3,5,9679
5065623,2,35,2,3,6,5,5,5,6,4,4,9667
5065623,2,18,3,1,3,3,4,3,3,2,3,9655
5065623,2,39,4,4,5,4,3,5,4,2,5,9643
5065623,1,65,2,2,3,5,4,3,3,5,5,9631
5065623,1,63,4,4,4,1,5,4,4,3,4,9619
5065623,2,37,3,2,4,4,5,4,5,2,3,9607
5065623,1,22,4,3,3,2,3,4,3,3,5,9595
5065623,2,28,4,2,4,3,4,4,3,3,4,9583
5065623,1,57,3,4,6,3,5,6,6,3,5,9571
5065623,1,39,5,2,4,3,4,4,4,3,4,9559
5065623,1,65,4,2,4,2,3,5,4,4,6,9547
5065623,1,42,4,3,5,2,4,5,4,2,3,9535
5065623,2,18,3,3,4,5,5,4,4,2,3,9523
5065623,2,42,2,1,3,6,5,4,3,4,4,9511
5065623,1,45,3,1,4,4,5,4,4,4,6,9499
5065623,2,28,3,2,4,5,3,4,4,2,3,9487
5065623,2,25,4,3,5,4,3,6,6,2,4,9475
5065623,2,24,4,4,4,3,4,5,4,3,4,9463
5065623,1,27,4,3,4,3,4,5,5,4,4,9451
5065623,2,47,3,3,3,4,5,3,4,3,5,9439
5065623,2,18,4,2,4,3,4,4,4,2,3,9427
5065623,1,26,5,4,4,2,4,4,5,4,5,9415
5065623,2,40,4,3,4,3,5,4,5,5,5,9403
5065623,2,18,3,1,5,4,6,4,4,2,2,9391
5065623,2,65,3,3,5,4,5,5,5,5,5,9379
5065623,2,65,4,2,5,3,2,5,5,3,4,9367
5065623,2,18,2,2,4,3,5,3,3,2,3,9355
5065623,2,38,4,1,3,3,4,4,6,6,5,9343
5065623,1,60,3,4,3,3,4,3,3,4,4,9331
5065623,2,21,4,2,3,3,4,4,4,4,3,9319
5065623,2,18,3,1,4,4,5,3,5,4,4,9307
5065623,2,29,4,1,3,3,4,4,3,5,2,9295
5065623,3,52,3,3,3,4,4,3,4,3,3,9283
5065623,2,38,3,1,4,4,5,2,2,3,2,9271
5065623,2,30,1,1,5,6,7,2,4,5,4,9259
